Идентификатор;Название датчика;Описание;Тип значения;Единица измерения;min;max
1;FIRCA-001;Регулятор расхода сырья дебутанизатора в С-1;PV;кг/чд;14750;19750
2;FIRC-003;Регулятор расхода резервного сырья в С-1;PV;кг/ч;14750;19750
3;PZSA-111;Давление шлемовой трубы С-1;PV;КПа;500;600
4;PIRCA-001;Регулятор давления сверху С-1;PV;КПа;500;600
5;PIR-107А;Давление сверху колонны;PV;КПа;500;600
6;PIR-107B;Давление на тарелке питания;PV;КПа;500;680
7;PIR-107С;Давление в кубе колонны;PV;КПа;500;680
8;PDIRA-107С;Перепад между верхом и кубом;PV;КПа;0;33
9;PDIRA-107A;Перепад между верхом и тарелкой питания;PV;град. C;0;70
10;PDIRA-107В;Перепад между  тарелкой питания и кубом;PV;КПа;0;33
11;TIRCA-002;Регулятор температуры сверху колонны;PV;град. C;46;53
12;TIRCA-003;Регулятор температуры на первой тарелке;PV;град. C;61;68
13;TIRA-004;Температура на выходе из куба колонны;PV;град. C;60;70
14;LZSAD-105;Уровень в кубе колонны;PV;%;27;73
15;LIRCA-001;Регулятор уровня в кубе колонны;PV;%;27;73
16;TIRCA-001;Регулятор температуры верхнего продукта после Т-1;PV;град. C;36;48
17;TIRA-116;Температура в емкости Е-1;PV;град. C;0;55
18;PIRCA-002;Регулятор давления в Е-1;PV;КПа;430;530
19;LZSAD-115;Уровень в емкости Е-1;PV;%;32;70
20;LIRCA-002;Регулятор уровня в емкости Е-1;PV;%;32;70
21;FIR-118;Расход и-бутана после Т-2;PV;кг/ч;5000;7900
22;PIR-119;Давление и-бутана после Т-2;PV;КПа;0;180
23;TIRCA-120;Регулятор температуры и-бутана после Т-2;PV;град. C;0;40
24;AIRA-002;Концентрация и-бутана после Т-2;PV;% масс.;85;100
25;PIR-112;Давление на нагнетании насосов Н-1А/В;PV;КПа;650;760
26;FIR-109;Расход на нагнитании насосов Н-1А/В;PV;кг/ч;30500;38000
27;FIRA-122;Расход теплоносителся от Т-3;PV;кг/ч;210000;280000
28;TIRA-121;Температура кубового продукта от Т-3;PV;град. C;60;70
29;TIRCA-103;Регулятор температуры н-бутана после Т-4;PV;град. C;0;47
30;FIR-102;Расход н-бутана после Т-4;PV;кг/ч;10500;12500
31;AIRA-001;Концентрация н-бутана после Т-4;PV;% масс.;85;100
32;PIR-101;Давление н-бутана после Т-4;PV;КПа;180;260
33;FV-001;Регулирующий клапан расхода на линии подачи сырья в С-1;MV;дискретный;0;100
34;FV-003;Регулирующий клапан расхода на линии подачи резервного сырья в С-1;MV;дискретный;0;100
35;PV-001;Регулирующий клапан давления на шлемовой трубе от С-1;MV;дискретный;0;100
36;TV-002;Регулирующий клапан температуры на линии орошения С-1;MV;дискретный;0;100
37;UV-007;Отсечной клапан на линии дренажа С-1;MV;дискретный;0;1
38;LV-001;Регулирующий клапан уровня на линии н-бутана на границу установки;MV;дискретный;0;100
39;UV-001;Отсечной клапан на линии н-бутана на границу установки;MV;дискретный;0;1
40;TV-103;Регулирующий клапан температуры на линии оборотной воды в Т-4;MV;дискретный;0;100
41;TV-003;Регулирующий клапан температуры на линии ВЦО от Т-3;MV;дискретный;0;100
42;UV-006;Отсечной клапан на линии ВЦО в Т-3;MV;дискретный;0;1
43;TV-001;Регулирующий клапан температуры на линии оборотной воды в Т-1;MV;дискретный;0;100
44;PV-002;Регулирующий клапан давления на линии топливного газа от Е-1;MV;дискретный;0;100
45;UV-005;Отсечной клапан на факел от Е-1;MV;дискретный;0;1
46;UV-008;Отсечной клапан на линии дренажа Е-1;MV;дискретный;0;1
47;UV-003;Отсечной клапан перед насосами Н-1А/В;MV;дискретный;0;1
48;UV-002;Отсечной клапан после насосов Н-1А/В;MV;дискретный;0;1
49;TV-120;Регулирующий клапан температуры на линии оборотной воды в Т-2;MV;дискретный;0;100
50;UV-004;Отсечной клапан на линии и-бутана на границу установки;MV;дискретный;0;1
51;H-1A;Рефлюксный насос;MV;дискретный;0;1
52;H-1B;Рефлюксный насос;MV;дискретный;0;1
